8인실로 예약 가능한가요?	8인실은 예약 가능해요
자리가 있나요?	있습니다
김밥 한줄과 감자튀김도 되나요?	둘 다 됩니다
음료 드시고 가실거에요?	마시고 가려구요
이거 신발 다 가죽이에요?	그거 소가죽이에요
제일 큰 사이즈는 어떤 게 있나요?	110사이즈입니다
가격이 5000원 적혀 있는데 맞아요?	맞습니다
많이 상하지 않았어요?	이 정도면 양호하죠
여기 온누리상품권 이런 거 받으세요?	안 받아요
결제할게요. 가격이 어떻게 되나요?	18,000원 입니다.
오른쪽에서 두번째꺼 주세요	준비해드릴게요
혹시 이 옷 여성 사이즈는 없나요?	남성용으로만 나와서요
문은 다 그 시간대에 오픈되어 있는 거에요?	오픈되어 있습니다
이거 좀 보여주세요	이것은 크로스 가방이고 세트로 가격은 3만 3천 원입니다
아메리카노 한 잔에 얼마죠?	2500원입니다.
초는 몇 개 넣어드릴까요?	초는 괜찮고 폭죽만 넣어주세요
한 켤레 얼마 받아요	한 켤레 사천 원 부터에요
혹시 여기 염색 제가 피부가 민감해서 그런데 간단하게 할 수 있는 거 있어요?	어떤 염색인지에 따라 달라요
음료는 뭘로 드릴까요?	아이스 아메리카노 두 잔 주세요
간짜장은 없어요?	없습니다
아이가 몇 살이죠?	이제 3살입니다
지금 런치세트 가능한가요?	10분이 지나서 안됩니다
세트메뉴에 음료수는 마음대로 골라도 되나요?	콜라 사이다 환타 중에 고를 수 있으세요
캐라반 하루 사용료가 얼마예요?	주중에는 육만원이고 주말에는 팔만원이에요
매운 김밥은 많이 매워요	매운 거 좋아해요
쌀을 갖고오면 수공비 얼마 받아요?	수공비는 고물 가격을 포함해서 만오천 원이에요
포켓볼 테이블 있어요?	저 끝으로 가시면 됩니다
철분제 먹으면 부작용이 있나요?	철분제 먹으면 속이 거북하다고 하시는 분 들이 있긴 해요
하얀색이 표시가 많이 나서 비싼가요?	검은색보다 흰색이 세탁하기 어려운 색상이라 추가 비용이 적용되는 겁니다
그러면 5시에 가져갈 수 있도록 준비해주실 수는 있나요?	5시까지 포장은 다 해드릴 수 있습니다
이건 어떠세요	아 좋을 거 같은데요
여기 일요일도 합니까?	일요일도 영업합니다
음료는 텀블러에 담아주세요	텀블러 할인 300원 같이 해드릴게요
가격도 제일 싼 거 같은데요?	가격은 이건 8800원이에요. 한국 화장품들이 가격이 합리적이고 용량도 커서 써보신 분들도 좋아하세요
맥런치세트 이벤트 가격 얼마인가요?	3900원입니다
4명이 같이 앉을 자리 있나요?	두 분씩 나눠서 앉으실 자리는 있어요
주소가 어떻게 되시죠?	여기 서울동 777-1번지로 갖다주세요
직접 다 만들어요?	우리는 이런 소스 같은 거도 직접 다 만듭니다
한진 룩으로 예약했는데, 확인 좀 해줄래요?	따라오세요
할인되는 카드 있나요?	따로 할인되는 카드는 없고 도장 찍는 쿠폰 드리고 있어요
백팩 다른색상도 있나요?	이비 있습니다
사이즈 별로 다른데 무슨 사이즈로 드시나요?	저는 톨 사이즈로 먹습니다
음식을 먹다가 떨어진 기름은 괜찮을까요?	얼룩이 오래됐으면 무스탕 가죽에 붙어서 산화되기 때문에 심할 경우 가죽 염색을 해야할 수 있습니다
카페 와이파이 비밀번호 알 수 있을까요?	abc123입니다
적립이나 할인되시는 카드 있으신가요?	여기요
배달은요?	배달은 안 해요
혹시 프린트도 가능한가요?	프린트할 거 정해지시면 누르지 말고 저 불러주세요
카드로 결제할 수 있나요?	결제하실 카드 주세요
며칠 예약하실 건가요?	2박 3일 예약하려 합니다
지금 영업하시나요	지금 구매가능하세요
그럼 2kg만 주시고 제가 처음인데 간단하게 어떻게하는 알려 주실 수 있나요?	그럼 푸짐해서 몇끼 반찬으로 좋아요
배달비는 따로 드려야 돼요?	배달비는 따로 없습니다
이 검은색 신발 이게 검정하고 밤색 두 가지인가요?	그렇습니다
편의시설 어떤 거 좀 이용할 수 있나요?	호텔 안에 편의시설은 없어요
저 돼지고기를 못 먹는데 그럼 뭐 시켜야 돼요?	그러면 찌개나 시래기밥이라든지 게딱지장 같은 거 드시는 게 맞는 것 같아요
할인해 주실 수 있나요?	할인은 안됩니다
내일 정오에 가능할까요?	내일 정오에 오시면 돼요
방수 되나요?	방수는 되지 않습니다
텀블러에 담아주실 수 있나요?	텀블러에 담아드릴게요
그럼 그렇게 예약 해주세요.	오후 6시 4분 예약 해 드렸습니다.
도라지 무침 엄청 맛있는데 어떻게 하셨어요?	고춧가루 기름 소금 들어가요
정수기 있나요?	있습니다.
몇 시부터 몇 시까지 배달돼요?	아마 열한시부터 열한시까지요
요 까만 신발 편해요?	편해요.
여기는 몇 시부터 몇 시까지 문 열어나요?	11시부터 9시까지 해요
이건 여름용이네요?	더운 나라에 여행가는 사람들이 있어서 꺼내놨어요
사이즈는 어떻게 되시나요?	100사이즈입니다
저녁 7시 예약하신거 맞으세요?	조금 일찍 왔습니다
손님 지금 15000포인트 있으신데 사용해 드릴까요?	그냥 적립만 해주세요
시나몬 조금 뿌려주세요	시나몬 뿌려 드리겠습니다
육개장 하나 포장되나요?	가능해요
귤은 한 소쿠리 얼마예요?	5천원씩이에요
그렇구나 요기 안에 있는 로퍼 이런 거는예?	그것도 볼이 좁게 나왔어요
이거 보라색밖에 없어요?	이거는 보라색만 있어요
매직이랑 염색이랑 같이 하면 삼십만원하겠네요?	그렇게 생각하시면 되겠네요
현금영수증 해주세요	번호 입력해주세요
큰 사이즈도 있나요?	말씀해 주시면 갖다 드리겠습니다.
포장되나요?	됩니다
카페라떼 하나 주세요	카페라떼 한 잔 4600원입니다
현금 영주승 해주세요	번호 찍어주세요
여기 오픈하신지 얼마되셨어요?	일년정도 됐습니다 1년 아직 안되고 5월달에 오픈했어요
가리비가 통째로 올라가는 거에요 아니면 가리비 살만 올라가는 거에요?	통째로 10개 올라갑니다
부대찌개 1인분도 되나요?	죄송합니다만 부대찌개는 2인분부터 주문가능합니다
숟가락은 어디 있나요?	숟가락 여기 있어요
열 명하면 무슨 메뉴 먹어요?	아귀찜도 괜찮고 가오리 찜도 괜찮아요
드시고 가세요?	먹고 갈게요
저 립은 그 소스 발라서 오븐에 구워 먹는 거예요?	립은 소스 발라서 오븐에 구워 먹으면 맛있어요
로션은 얼마인가요?	로션은 3만원이에요
오메기떡은 있을까요?	한 팩 남아 있네요
드시고 가실 건가요?	테이크아웃할게요
요거는 연베이지 이거밖에 없어요 색깔?	색깔은 이거 하나밖에 없고요
결제는 밤식빵만 도와드릴까요?	카드 받았어요
스타벅스에 그런 빵하고 비슷한가요?	약간 그럼 느낌의 빵이라고 생각하시면 돼요
구입 후 집에 가서 입어봤는데 옷이 작으면 어떡해요?	니트재질 옷은 늘어나서 교환환불이 되지 않아요
그럼 그걸로 주문할게요	금방 배달해드릴게요
몇 시에 가지러 갈까요?	10시나 11시 사이에 오세요.
밤은 한 되에 얼마에요?	밤은 1kg에 5천원이에요.
긴 패딩은 세탁비 만 원 맞나요?	더 긴 패딩은 만 오천 원까지 받을 수 있습니다
뼈는 살 수 있어요?	뼈는 판매해요
짬뽕 나오는덴 시간이 얼마쯤 기다려야 돼요?	바로 나와요
여기 와이파이 있어요	휴지곽 앞에 적혀 있어요
색깔이 베이지인가 갈색인가?	핑크 베이지 색깔인데 저것도 예쁘고 그레이 빛 나는 소라색도 예뻐요
여기 뭐가 제일 맛있나요?	저희 가게는 다 맛있어요
먹으면 뼈에 괜찮겠죠?	비타민 D도 충분히 들어 있어서 뼈에 좋습니다
언제부터 그랬나요?	어제부터 아팠는데 병원을 계속 못 갔네요
다 팔리면 다시 또 오는 거 아니에요?	겨울 거는 이제 없어요 봄 상품 들어와요
스커트 어떤 건데요 체크?	약간 이런 색깔인데
매운 짬뽕 포장요?	아뇨 먹고 갈 거거든요
테이크아웃하면 더 저렴해요?	테이크아웃해도 가격은 똑같습니다
메뉴판 어디 있어요?	메뉴판 드리겠습니다
이 귀걸이 혹시 세트로 나온 목걸이가 있나요?	이쪽에 진열되어있습니다
선물하실 건가요?	이게 싱싱해요. 이걸로 가져가세요.
내가 산게 뭐라고 했죠?	인크레더블이요
고기 많이 샀는데 서비스로 하나 주실 수 있나요?	대패삼겹살로 서비스 드리겠습니다.
오래 됐습니까?	오래됐는데 약을 먹어야 되는지 잘 모르겠는데 아직 가래도 막 걸리고 하네요
북구청 옆에도 가정집에 배달해줘요?	안돼요 이 근처만 돼요
뭐가 맛있어요?	돈가스 제일 많이 나갑니다
사골 끓인 것도 파나요?	사골 끓인 것은 없어요
여기는 감자떡 같은 거 있어요?	감자떡은 주문해야 해요
이거는 얼마예요?	12만 원이요
수거도 가능한가요?	수거도 저녁 여덟시 이후로 가능하세요
앞머리도 잘라드릴까요?	앞머리 기를 거라서 자르지 말아 주세요
몇 번 객실이세요?	203호입니다
크랩 샌드위치는 우유식빵인가요?	우유식빵이에요
자리 있어요?	카드 받아 가세요
매운 김밥은 많이 매워요?	많이 매워요
가격은 어떻게 되나요?	100g 당 1500원입니다
그럼 이걸로 살게요	고객님 바로 포장해드리겠습니다
염색 색상을 선택할 수 있나요?	색상표를 보고 알려주시면 그대로 해드릴 수 있어요
뭐 야채는 어떤 게 들어가요 사장님?	전화가 계속 들어오기 때문에 설명을 못 드리거든요 책자 보면 다 나와 있어요
오늘 인절미 남아있나요?	아뇨. 안타깝게도 좀 전에 다 나갔어요
20퍼센트는 매직 할인인가요?	원래 남자 파마가 5만 원인데 현금결제는 20퍼센트 할인해서 4만 원, 카드 결제는 10퍼센트 할인해서 4만 5천 원입니다
추가로는 어떻게 계산되나요?	한 시간 이후부터 삼십분당 500원으로 계산됩니다
이 케이크는 딸기가 생으로 들어간 거예요?	케이크에 딸기가 생은 아니고 겉에 뿌려져 있는 게 딸기 말린거에요
어떤 얼룩요?	기름 종류 같은데 뭐를 묻혀 왔는지모르겠어요
다른 거는 추천하고 싶으신 거?	그게 제일 나아요
1인실 방 좀 볼 수 있나요?	1인실은 가격이 좀 달라요
네 언제 받으실 예정이세요?	오늘 오후 7시에 받으려고요
한 2일 3일 내로 세탁됩니까?	세탁은 3일에서 4일 정도 소요됩니다
음식이나 재료는 매점이 따로 있나요?	매점에서 고기나 다른 취사용 도구 구매 모두 가능해요
떡 하나 만두 하나 시키면 한 개씩 나오나요?	떡은 다섯 개 만두는 여섯 개 나와요
세일 품목은 매일매일 달라지나요?	매주 수요일과 토요일에 세일 품목이 업데이트됩니다
이거 35랑 크기 비슷한데 30 맞아요?	30이에요
먹으면 어디에 좋아요?	임페타민은 영양제라서 피곤하신 분들이 많이 드십니다
광고 붙여놔요 지나다닐 때? 저희가 할인하는 거를 알 수 있나요?	인터넷에 검색하시면 나올 거예요
허벅지가 어떻게 아프세요?	스피닝을 무리하게 했더니 근육이 찢어질 듯이 아프네요
탈의실이 어디에 있죠?	저쪽 청바지 코너 옆에 있습니다
카드로 결제가 가능한가요?	카드로 결제해 드릴께요.
오늘 진미채 있나요?	방금 무쳤어요
하얗게 된 곳 하려면 얼마쯤하나요?	뿌리 염색 가격을 받아도 될 것 같아요
이 가방은 얼마인가요?	10% 할인가 적용해서 99000원입니다
네 그럼 휘핑크림 추가해서 주세요	녹차라테에 휘핑크림 추가해서 4500원입니다
적립 해드릴까요?	핸드폰 번호만 불러주시면 돼요
몇 시간 동안 머무르시나요?	3시간이요
많이 달아요?	달기보단 민트향이 강하게 나요
콘티600정 팔만원이죠?	콘티600정 가격 팔만원 맞습니다
M사이즈는 몇 인치인가요?	28인치 정도 됩니다
네, 몇 분 정도 숙박하실 예정이신가요?	그럼 더블 침대 2개 있는 방으로 안내해드릴게요
한 개에 얼마죠?	5천원에서 만원입니다
따뜻한 거 드릴까요?	따뜻한 걸로 주세요
이건 버버리다 그죠?	버버리예요
아이들이 놀 수 있는 수영장이 있나요?	20명이 이용할 수 있는 수영장이 있어요
천혜향하고 한라봉은 맛이 다른가요?	천혜향이나 한라봉이나 맛은 비슷해요.
카카오페이 결제도 되나요?	카카오페이 결제는 안 됩니다
현금영수증 해주세요	해드릴게요
라떼 하나 얼마에요?	따뜻한 라떼는 이천 오백 원이고 시원한 라떼는 삼천 원이요
요 패딩은 다운소재인가요?	그 패딩은 다운소재에요
가래떡 있어요?	현미랑 쌀 두 종류 있어요
무이자 할부 가능한가요?	현대카드와 삼성카드는 6개월 무이자 가능합니다
오전에는 일찍 문 여시고?	오전에는 열시 넘어서 문 열어요
여기 차는 어디 주차해요?	뒤편 주차장에 세우시면 돼요
천연 염색을 하면 괜찮나요?	이태리에서 수입해 온 제품이 있는데 좋아요
열어요?	시간 내서 한 번 오세요
저 옷은 얼마예요?	그 옷 사십 이만 원인데, 세일해서 이십 오만원이에요
옆에 있는 건 가죽이고?	최고 좋은 양피예요
요런 가방은 얼마예요?	그 가방은 사만 구천 원이에요
샷 추가 시 추가요금 있나요?	샷 추가 시 추가요금 있습니다
마카롱은 남아있나요?	오늘은 다 팔렸어요
네 먹고 갈 건데 혹시 테이크아웃 잔에 주시면 안 될까요?	저희 방침 때문에 안에서 드실 경우에는 일회 용기에 드릴 수 없습니다
오늘 묵을 수 있는 독채 있나요?	오늘 묵을 수 있는 독채는 하나 남아있어요
데리버거 세트 하나 얼마인가요?	먹고 갈 거에요.
더 필요하신 건 없으세요?	없어요
그러면 갈비맛 치킨 순살로 부탁드립니다	40분 정도 소요될 것 같습니다
그럼 4구 공 주세요	자리에 가져다드리겠습니다
선물하려고 하는데 포장 가능한가요?	선물용 포장해드려요.
진하게하면 샷이 얼마나 들어가요?	투샷 들어가요
일요일에도 오픈 하세요?	원래는 아닌데 바쁘면 나와요
화장실은 어디에 있나요?	밖으로 나가시면 있습니다
검정색상으로 275 사이즈 있나요?	10단위 사이즈로 나오고 있습니다
네, 몇 명이세요?	4명입니다
그럼 카드로 결제할께요	카드 결제 도와드리겠습니다
회색 있어요?	회색인데 완전 회색은 아니고요
소재가 면이에요?	면 좋아요 보푸라기 안나요
식당 주변에 우체국 있어요?	서대전사거리까지 가야해요
색깔이?	검정이나 베이지 톤 아이보리같은 거 하시면 괜찮지요
어른들이 사가는 종류는 또 어떤게 있어요	원래 3만원인데 할인해서 25000원인 제품도 잘 나가요
일요일은 영업하세요?	이번 일요일은 쉬어요
카드 무이자 할부 되나요?	5개월 무이자입니다
이런 것도 남자들이 입나요?	요즘에는 남자, 여자 상관없이 입어요
이거는 조끼잖아?	조끼 맞아요
분홍색 티셔츠는 지금 얼마예요?	현금하면 3만 원까지 해줄게요
어떤 게 젤 많이 나가요?	금계 삼계탕이 잘 나가요
이 가방 다른색도 있나요?	빨강색 노랑색 있습니다
떡볶이 2인분 모둠 튀김 주세요	떡볶이 2인분 모둠 튀김 콜라 2개 주문 받았습니다
제가 신을 수 있는 신발 좀 편한 거 소개 좀 시켜주세요	이거 진짜 편하거든요
며칠 계실 예정이세요?	2박 하려고요
누구한테 드릴 예정이세요?	남자친구요
네 고객님 선물하시는 거라면 선물용 포장으로 도와드릴까요?	그럼 감사하죠
쿠폰은 어떻게 쓰는데요?	나중에 콜라 주문하실 때 콜라 쿠폰 쓸 거라고 말씀을 해주고 배달해주시는 기사님한테 그 쿠폰을 전해주시면 됩니다
큰 방은 얼마죠?	1박에 5만 원이에요
네 4명이요	5번 자리로 가세요
비흡연석 있나요?	좌측 좌석은 모두 비흡연석이에요
이거 검은색하고 카키색하고 두 종류가 있네요?	이비까지 세 종류 있어요
여기 4500원 결제해주세요	결제해드릴게요
포인트 적립도 되나요?	번호 불러주시겠어요?
학생도 똑같은가요?	학생은 커트 만 원이에요
좀 달작한거죠?	달달한 건데 원하시면 안에 들어가는 시럽 뺄 수도 있어요
바깥 소재는 가죽이에요?	맞아요
저녁에는 몇 시까지 하시는데예?	저녁엔 8시 반쯤에 오셔야 마지막 주문할 수 있어요
조금만 상의하고 다시 전화드릴게요	전화 주세요
네 여기 몇 시까지 해요?	24시간하는데 버거는 4시 부터는 안 팔아요 10시 반까지는 모닝 팔고 있어요
귤 한 박스 얼마에요?	귤은 한 박스에 14,000원부터 있어요.
뜨신 물은 없나요?	따뜻한 물은 저기 앞에 셀프로 있습니다
이거는 팔찌예요 목걸이에요?	롱 목걸이에요
여기 생긴 지 얼마나 됐어요?	저희 일년 정도 됐습니다
프라페는 얼마인가요?	큰 사이즈 3800원, 작은 사이즈는 3300원이에요
토요일만 당일 세탁 가능한가요?	평일은 당일 세탁 안돼요
아메리카노 따뜻한 거 하나 주세요	삼천 원 결제해드리겠습니다
오렌지 라임 방 보시겠어요?	설명 간단하게 해주세요
아침에 몇 시에 열어요?	열시 반에 열어요
주문은 천천히 해도 될까요?	주문 결정되시면 불러주세요
딸기 얼마에요?	딸기 작은 팩은 5천 원, 큰 팩은 1만 원이에요.
딸기 좋아하겠네 얼마에요?	1키로에 만원이요
이 곶감은 어디 거예요?	지리산 산청 오리지널 국내산이에요
이 옷은 세팅인가요?	그 옷은 캐시미어에요
같이 카드로 계산해주세요	함께 결제해 드릴게요
꽃 좀 사려고 왔는데요	편하게 둘러보세요.
매일 사용해도 괜찮은 거예요?	매일 저녁 샤워 시 사용하시면 돼요
통사태는 얼마에요?	통사태는 칠만원인데 육만 오천원에 드릴게요
평소에 어떤 커피를 주로 드시나요?	아메리카노요
따뜻한 물 한잔도 주실래요?	드릴게요
파마하려면 손님 있어서 기다려야 하죠?	지금 예약 하시고 있다가 오셔도 되세요
네, 그걸로 결제해 주세요	잠시만요
바로 PC 키고 사용하면 되나요?	PC 키시고 여기 카드에 쓰여있는 번호 치시면 사용 바로 가능하십니다
이거는 재질이 뭡니까?	위에는 스판이요
결제는 카드 가능한가요?	카드 결제 가능하세요
누가 하실 건데요?	제가 할 거예요
공공 일식집이죠	맞습니다
바지 기장을 수선하려구요	오 센티미터 수선해 드리겠습니다
아메리카노 한 잔 주시겠어요?	1800원입니다
왜 한우는 엘에이 갈비가 안 나올까요?	한우는 비싼데, 갈비가 정사각형으로 고운 부분만 자르고 나머지는 다 버려야 되서요
요 가방 색상은 하나뿐이죠?	검은색도 있었는데 검은색은 나갔어요
탕수육 중자 얼마예요?	만오천원 입니다
김치 드릴까요?	좀 주세요
이 티셔츠는 프리에요?	프리에요
전 세 개 동그랑땡하고 이렇게 주세요	드릴게요
토마토 많이 익었나요?	토마토 잘 익었어요. 바로 드시기 딱 좋아요
굽은 몇 센티 정도 보세요?	한 4센티 5센티 정도요
청소년은 몇 시까지 이용 가능하죠?	밤 10시까지입니다
비타민도 하나만 추천해주세요	이 제품이 제일 잘 팔리는데 저도 먹는 제품입니다
중학생인데 가방 뭐가 좋을까요?	이거는 잘 나가서 마지막 한 개 남았고 이것도 많이 해요
주로 나이 드신 분들 사가시는 신발이 저건가요?	이런 신발들도 많이 사가세요
이거같이 이렇게 된 거 좀 큰 거는 없어요?	그거는 이제 들어올 거예요
불짬뽕하고 짬뽕하고 뭐 어떻게 달라요?	짬뽕보다 불짬뽕이 조금 더 매우면서 해물이 더 많이 들어가요
관광은 도보로 안 되죠?	관광지는 차로 가셔야 해요. 바다에 가시려면 무료로 가이드 카트라고 전동버스가 있어요
제가 한 번 신어봐도 돼요?	구두보다는 이게 훨씬 편할 겁니다
맛 볼 수 있나요?	맛보세요
지금 전산 에러가 나가지고 개수만 말해주시겠어요?	한 개 두 개
그러면 제가 초밥을 생새우만 팔피 이렇게 선택해도 되나요?	따로 말씀 하시면 됩니다
주문은 저기 가서 해야 되나요?	주문 결정하시고 불러주시면 돼요
주소를 알려주시겠어요?	삼주아파트입니다
먹을 것도 판매하나요?	한식부터 중식 외 다양한 간식 준비되어 있습니다
카드 결제되나요?	아뇨 이벤트 중이라 현금결제만 가능합니다
각 1개씩 포장 가능하죠?	한 개씩 포장해 드릴게요
돈가스 김밥 맛있어요?	맛있죠
클리닉 몇 번쯤 받으면 머리가 조금 매끄럽게 되나요?	한 번 해도 느낌은 나는데 완벽하게 하시려면 집에서 염색을 한 번도 안 하셔야 될 거예요
비빔밥용 나물 있나요?	고사리랑 무나물이랑 콩나물이 세트로 1인분씩 포장되어 있습니다
예약하고 내일 오는게 낫겠네요	내일 오시면 서비스 해드릴게요
BBQ 상암점 맞죠?	맞습니다
혹시 배달은 되는가요?	돈가스가 식어서 배달은 안 하고 포장은 합니다
네, 육회 조리법은 아세요?	육회 조리법 알려 주세요
한 개씩 드릴까요?	그거 세트 하면 5000원이죠? 그거 하고 콜라 하나 하고요
그건 얼마에요?	5만원 입니다
4구 자리 주세요	만석이라 20분 정도 기다리셔야 해요
요거는 개수가 한 개 적네?	그건 사과가 알이 커서 한 개 적게 들어간 거에요
애플망고 주스는 가격이 얼마에요?	애플망고 주스 가격은 5800원입니다
그럼 퀵은 배송비 얼마 들어요?	퀵비 오천 원 들죠
얼마인가요?	1박에 3만원이에요
컴퓨터 사양때문에 그런데 그래픽카드는 어느정도 쓰시나요?	배틀그라운드 전용석은 그래픽카드가 1080티아이인데 일반석은 그래픽카드를 1060 사용합니다
이 카드로 계산하고 영수증 주세요	알겠습니다
목걸이랑 세트로 구입 가능할까요?	20만 원 입니다
양념은 따로 파시나요?	아니요, 양념은 집에 가서 하여야죠
염색약 성분에 대해서 설명해주세요	98퍼센트의 식물성 성분과 2퍼센트의 알코올 성분으로 두피가 예민하신 분들도 사용할 수 있는 염색약입니다
뼈로 드릴까요 순살로 드릴까요?	순살로 주세요
가격은 얼마인가요?	삼만원 입니다
블랙 색상 바지에 어울리는 티셔츠가 있나요?	이 바지는 화이트 색상의 기본 셔츠와 입으면 잘 어울려요
기프티콘도 사용할 수 있나요?	쿠폰사용 누르시고 바코드를 찍으시면 됩니다
세트가 싸겠지요?	가격표 보시면 그냥 불고기버거 하면 삼천팔백 원인데 단품 하면 이천 얼마 세트 하시면 오천육백 원이에요
이거는 다이아몬드예요? 빛나는 거?	다이아몬드인 것도 있고 아닌 것도 있습니다
볼륨매직이 13만 원인가요?	볼륨매직은 단발의 경우 13만 원입니다
펜션 위치가 어디쯤인가요?	저희 펜션은 보문관광단지에 한화리조트, 현대호텔 다 모여 있는데 거기 가기 한 코스 전에 있어요
예 대성스카이렉스 백이동 천오백삼호인데 후라이드 한 마리만 배달해주세요	배달 거기까지 안합니다
그럼 2kg만 주시고 제가 처음인데 간단하게 어떻게하는 알려 주실 수 있나요?	아네 그런 방법이 있네요
떡국 떡은 얼마라예	만 원이요
브레첼 사려면 오래 기다려야 하나요?	브레첼은 버터를 넣으려면 빵이 좀 식어야 해요
점심때는 몇 시부터 하시는데요?	오전 9시 오픈이고 4시부터 5시까지 브레이크타임이니까 3시 반 전에 오셔야 해요
어떤 스타일의 방으로 드릴까요?	모던 룸은 1박에 2만5천 원이에요
자연화장품도 취급해요?	합성첨가물이 없는 비타민이고요 화학성분이 없는 화장품이어서 예민하신 고객님께 좋아요
네 매운 짬뽕은 아주 맵게 해서 주세요	더 맵게요
이걸로 살게요	결제 도와드릴게요
수건이나 세면도구 다 구비되어 있나요?	수건이나 세면도구 있는데, 칫솔, 치약은 500원에 판매하고 있어요
대실 가격이 어떻게 되나요?	대실은 기본 두 시간에 2만 원이에요
프랜차이즈에요?	저희 매장은 프랜차이즈가 아닙니다
이거 생활방수 돼요?	이게 세트로 이렇게 나오거든요
이거는 가격 어떻게 해요?	4만 9천 원에서 5만 9천 원합니다
혹시 3일 치만 가능한가요?	가능합니다
둘이 하면 좀 더 싸게 안 해줘요?	할인해드리겠습니다
포장할 때 용기 값 따로 내야 되는 거에요?	원래는 받았었는데 지금은 안받아요
성함 알려주세요	박고순 입니다
음료 한잔 더 마실 수 있을까요?	똑같은 걸로 가져다드리겠습니다
그럼 이 립밤 하나만 주세요	3일 후에 오세요
예약을 미리 해야 돼요?	방이 몇 개 없어서 좀 일찍 예약하시면 좋죠
한 그릇도 되나요?	한 그릇은 안돼요
예약 가능한가요?	가능합니다
두통약 있나요?	두통약 있습니다
이 반찬은 뭐에요?	오징어 젓갈이예요
음 이거 새상품 있나요?	고객님 원하시면 준비해드리겠습니다
이것보다 용량이 좀 더 큰건 없나요?	이 제품이 신제품이라 1개 사시면 셈플로 100ml 드리고 있어서 따로 안사셔도 괜찮을거에요
몇 시부터 몇 시까지 열어요?	열한 시부터 아홉 시까지요
식사 배달시켜도 되나요?	감사합니다
게임 종목은 삼구만 있나요?	사구도 준비되어 있어요
어머니 가방 바꿔드리려고 하는데 뭐가 좋을까요?	이런 것도 괜찮아요 드는 거, 메는 거 모두 가능해요
남자 스킨로션은 어디에 있나요?	이쪽이에요
검은색 말고 남색은 없나요?	검은색밖에 재고가 없어요
금액은 얼마죠?	전체 한번 톤을 한번 낮추고 색상은 나오면서 튀지 않는걸로 해드릴게요
요런 천 가방은 얼마쯤 해요?	그 사가방은 만 육천 원이에요
12시에 3명 예약 하려고 하는데요	가능합니다만 조금 기다리셔야 할 수 도 있어요
좋은 제품이라도 가져 가면 니트는 피잖아요?	캐시미어 많이 들어간 옷이면 많이 피고, 폴리 같은 건 안펴요
몇 시에 닫아요?	6시 안쪽으로 가요
교직원 공제 회원이세요?	교직원 공제 회원 아니에요
집에서 세탁하셨나요?	세탁소에서 세탁했어요
방이 몇 개인가요?	세개에요
당구대 새 거 없나요?	여기 있습니다
알레르기 있으세요?	저는 은침해도 한 시간 지나면 심해져서요
여덟시까지 가게 여신다고 하셨죠?	여덟시까지 가게 열어요
전체적으로 조금씩만 잘라주세요	점퍼벗으시고 이쪽으로 앉으세요
청소년들도 많이 이용하나요?	학생들이 좀 있기는 한데 많지는 않아요
200 사이즈 구두도 판매 하고 있나요?	주문 제작가능합니다.
브라운 색상이 조금 진한 브라운 톤이네	색상은 블랙과 두 가지 있어요
행사도 해요?	품목별로 두 가지씩 세일을 많이 해드리고 있어요
이거 나가면 다시 들어오나요?	계속 생산 중인 제품이에요
정식으로 2인분 주세요	준비해드리겠습니다
민감성 피부인데 괜찮을까요?	민감한 피부를 위해 자극적인 성분은 최소화한 제품이에요
아 네 혹시 이 중에 연예인 A씨가 가지고 다녔다는 가방이 무엇이죠?	여기있는 검은색 가방이에요
사이즈가 어떻게 되세요?	240이요
배달도 되나요?	배달도 해드립니다
여기 일식 전문점이에요?	일식도 있고 한식도 있고 다 있어요
영업시간이 언제부턴데예?	브레이크타임인가 보네
여성구두 선물용으로 추천해주세요	이 제품이 요즘 핫합니다
네 그러면 일 인분씩 열명 먹으면 되는가?	그러시면 되죠
저고리, 치마 다 수선하려면 육만 오천 원이네?	수선 정도에 따라 다르지만, 수선 비용은 육만 오천 원 정도로 예상됩니다
혹시 컵 두개로 나눠서 담아주실 수 있나요?	가능하십니다
거기 식히고 있는 거에서 빵 골라 담아도 되나요?	원하는 빵 고르세요
카카오페이나 삼성페이도 돼요?	삼성페이는 되는데 카카오페이는 안되세요
정액제가 있나요?	선불 요금으로 있습니다
시폰인가요?	맞습니다
여기 콜라는 주나요?	음료는 별도 주문이세요
주차장은 없나봐요?	주차장은 가게 뒤에 있습니다
이 티셔츠는 어떤 바지랑 어울려요?	청바지 반바지 긴바지 흰 바지 다 잘 어울립니다
티타늄은 무슨 재질이에요?	서지컬인데 병원에 가위 같은 데 쓰는 거라서 인체 공학적으로 안전해요
상황이나 시간에 의해 달라지는 거죠?	그렇습니다
주차할 수 있는 시설은 있을까요?	건물 주차장이 있는데 공간이 협소합니다
야외 바비큐장 사용 가능한가요?	사용 가능해요
쿠폰으로 받는 커피는 따뜻한 아메리카노로 정해져있어요?	아이스로 변경하시는 건 상관 없어요
3개에 8100원이면 너무 비싸네요?	요즘 과일 값이 많이 올랐어요.
가격은 얼마예요?	39000원이요
영양 빵은 뭐, 뭐 들어가요?	영양 빵에는 흑설탕이 들어가요
깐 쪽파 있어요?	깐 쪽파 지금 행사 중이에요.
이 옷 가격은 세일된 가격인가요?	오십프로 세일된 가격이에요
